Event_ID,Fire_Name,Lat,Long,Fire_Year,Fire_Month,Total_area_burned(ha),Unchanged(ha),Low_Severity(ha),Moderate_Severity(ha),High_Severity(ha),Grass_Burned(ha),CO2(kg),CO(kg),CH4(kg),NMOC(kg),SO2(kg),NH3(kg),NO(kg),NO2(kg),NOx(kg),PM2.5(kg),OC(kg),BC(kg)
CA3294511693519840906,BOWLES,32.945,-116.935,1984,9,1244.16,49.59,25.02,1169.55,0,0,83952748.44,5117438.16,117003.042,1268526.24,38738.3076,88519.113,68556.546,49758.1974,110604.744,418789.26,199276.704,68778.6048
CA3402311625519840531,LOST HORSE,34.023,-116.255,1984,5,1671.57,0,0.09,1500.39,55.35,115.74,116704325.9,7114272.93,162116.262,1766841.84,54745.3125,123024.7368,96350.337,70137.423,155276.217,580643.091,271585.953,95898.8511
CA3433111896419840507,GRIMES FIRE,34.331,-118.964,1984,5,4418.01,59.67,33.84,3077.55,1230.03,16.92,254310809,14947816.14,389159.82,3837751.2,127458.7758,252573.4728,201763.854,156767.1948,317698.47,1323675.81,779367.366,184308.3018
CA3455211818319840529,SHANNON FIRE,34.552,-118.183,1984,5,1437.93,2.43,0,1431.09,0,4.41,90993619.8,5369132.43,137726.046,1374826.32,45615.0123,90937.7676,72862.299,56284.263,114972.399,470919.069,270006.471,66962.0745
CA3470111707519840512,STODDARD 2,34.701,-117.075,1984,5,994.41,0,0,983.79,7.83,2.79,72586690.92,4430905.74,100649.088,1097645.76,33590.1294,76702.6512,59586.786,43180.8012,96181.29,361117.458,169057.854,59803.4934
CA3480712050119840507,MINUTEMAN,34.807,-120.501,1984,5,1278.81,0,8.46,779.76,489.6,0.99,44764812.18,2484854.82,75429.693,689510.16,29115.144,40172.1489,38593.575,33509.5011,58046.382,240961.032,160057.35,27293.8086
CA3519712039419840629,BONNHEIM,35.197,-120.394,1984,6,656.55,0,83.43,550.26,15.03,7.83,62798907.42,3309902.46,122563.395,926910,33861.0672,51853.4919,40464.873,37940.1813,58863.834,372278.808,340240.122,27601.4034
CA3525312054719840529,MORETZZ,35.253,-120.547,1984,5,641.61,0,222.03,410.94,8.1,0.54,50209362.36,2576115.54,102191.274,741862.08,28720.6326,39468.2886,32026.896,31493.9718,45475.722,304028.298,292160.754,19130.0382
CA3561111844619840526,WOODROW,35.611,-118.446,1984,5,452.34,0,0,448.29,0.09,3.96,36810166.86,2152906.47,57479.679,552142.08,17788.9437,36294.9021,28099.908,21886.0101,44218.575,194065.299,121231.287,25956.8397
CA3589912013419840525,FLAT TOP,35.899,-120.134,1984,5,2706.75,172.62,0,996.57,477.09,1060.47,58965306.3,3360447.9,89526.879,938620.08,44533.0008,55031.5899,60766.533,51567.0993,92202.354,295946.352,137467.242,42068.529
CA3607412018819840329,FK 1817,36.074,-120.188,1984,3,592.2,39.87,0,463.32,70.83,18.18,20856507.48,1239486.84,29937.492,322518.24,12215.9772,21008.3328,19019.016,14875.6176,29844.288,103903.668,47798.964,16306.8336
CA3626012031719840525,OIL FIELDS,36.26,-120.317,1984,5,459.09,1.08,0,90.63,0,367.38,6635393.64,355908.6,10843.038,109683.36,6535.0656,5518.8846,7894.314,7249.833,11548.764,33678.576,15960.996,4103.3628
CA3674412094119840602,BONANZA,36.744,-120.941,1984,6,4899.15,16.92,9.99,4870.62,1.35,0.27,241407117.9,13819398.57,387995.391,3671125.92,135981.2511,229001.4081,197112.33,161721.8109,303772.113,1279763.937,808799.625,161369.3835
CA3688312115819840705,PACHECO 2,36.883,-121.158,1984,7,499.14,0,38.34,460.8,0,0,36612696.6,2012312.97,65444.112,546801.84,19723.2813,32487.6582,26195.967,22824.3096,39395.889,206387.595,163423.413,20121.1695
CA3709812116219840521,COTTONWOOD,37.098,-121.162,1984,5,571.14,9.36,1.17,495.36,65.25,0,6539166.72,339860.25,10901.34,111171.6,7472.7765,5096.5614,8628.579,8161.8552,12435.093,32903.091,14286.501,3821.0139
CA3765112147419840628,SITE 300 3,37.651,-121.474,1984,6,2794.77,0.54,14.94,1883.7,401.67,493.92,28156656.06,1404623.16,48589.353,491999.76,36881.1738,20135.3085,40729.617,39698.1243,57779.028,141552.414,58826.088,14990.0112
CA3800412064719840624,SALT SPRING,38.004,-120.647,1984,6,1957.23,0.36,56.43,1636.56,261.72,2.16,213409874,11061782.1,429930.207,3136425.84,115357.2084,171114.3603,131922.585,127608.0417,188996.814,1288748.34,1233604.71,84784.1166
CA4001112181719840907,BRUSHY,40.011,-121.817,1984,9,1131.3,0,83.61,1034.46,9.36,3.87,133152830.5,6681807.45,283083.543,1947857.76,74122.1271,100662.5745,77802.858,80003.4957,107908.497,829024.137,850421.457,42796.2987
CA3269911692719850630,MILLER,32.699,-116.927,1985,6,3160.35,91.71,2505.78,553.05,8.91,0.9,199900074.8,12136691.52,280548.045,3027445.2,95062.8294,209326.9041,164966.769,121096.5615,265086.864,998812.818,478482.156,162246.8196
CA3293211694719850727,SYCAMORE,32.932,-116.947,1985,7,409.32,23.13,285.75,99.99,0.45,0,26969550.66,1641421.98,37757.655,407408.4,12470.0976,28366.0407,21972.429,15989.9229,35417.142,134821.224,64944.306,21978.5382
CA3340011734219850701,ROBLAR,33.4,-117.342,1985,7,2973.51,12.06,1807.29,1082.07,56.88,15.21,219372252.8,12849243.84,340696.548,3295265.76,106871.7744,216779.6736,169055.46,131520.5784,266125.068,1152692.064,709437.96,155870.0388
CA3341311738919851004,UNNAMED,33.413,-117.389,1985,10,430.56,0.18,284.76,118.71,26.91,0,34946793,2002319.01,57385.098,522419.76,17278.8093,33304.4028,25806.645,20833.9362,40060.089,188983.611,130457.745,22727.2815
CA3386711663319850627,CABANZO,33.867,-116.633,1985,6,5699.88,267.93,3861.27,1297.62,238.86,34.2,416651201.3,24463765.44,643124.826,6260785.92,202317.858,413376.6582,322204.914,249602.0274,508010.292,2182704.3,1326134.016,298742.9076
CA3391911778419850811,SHELL,33.919,-117.784,1985,8,578.88,0,187.83,378.99,10.8,1.26,42217142.22,2350044.72,73605.123,630729.36,22190.985,38295.7587,30511.863,25984.3365,46340.748,235042.974,179073.972,24486.9984
CA3406011868219851014,PIUMA FIRE,34.06,-118.682,1985,10,2136.78,3.6,672.75,1292.22,167.58,0.63,148615320.1,8659780.65,234155.961,2228433.12,72285.1587,145634.1903,112962.204,88579.7703,177309.405,786916.701,500404.761,103360.7367
CA3407111891719851014,DECKER,34.071,-118.917,1985,10,2075.13,0.54,987.39,986.76,96.21,4.23,147323327.8,8609997.87,230276.718,2210949.36,71628.3315,145065.78,112757.931,88002.7074,177297.579,776822.661,485399.439,103699.4157
CA3411711885719850630,SHERWOOD FIRE,34.117,-118.857,1985,6,1577.97,0.18,526.41,788.94,262.44,0,118519724.5,6844040.19,191021.256,1773951.12,58080.9735,114428.097,88615.557,70565.1408,138289.923,634880.097,422863.983,79526.8989
CA3424911865419851014,BOX CANYON (PIONEER) FIRE,34.249,-118.654,1985,10,504.54,0,448.92,55.62,0,0,32111758.8,1891285.2,49193.838,482621.76,15498.0756,32022.9018,24908.526,19186.1406,39355.308,167623.884,100286.424,23281.182
CA3425211892819851014,PEACH HILL,34.252,-118.928,1985,10,807.21,10.26,773.91,22.14,0.81,0.09,33562560.24,1981550.16,50934.708,505690.56,16431.1488,33591.0996,26456.508,20346.1596,41820.84,174191.328,101405.592,24638.0328
CA3428411864819851014,HUMMINGBIRD,34.284,-118.648,1985,10,981.63,0.45,688.86,285.84,6.48,0,66267212.04,3981924.54,95957.316,1000797.12,31628.331,68256.3564,53503.326,39904.344,85507.866,336277.458,175515.894,51796.6038
CA3441311914919851014,FERNDALE,34.413,-119.149,1985,10,18912.06,195.48,14241.6,3861.18,581.58,32.22,1491556352,82200708.36,2664596.52,22193870.4,777367.5732,1330695.994,1043990.1,903613.7304,1574924.148,8422234.956,6717124.26,822713.0796
CA3443011922019850703,BLACK MOUNTAIN,34.43,-119.22,1985,7,506.07,0,211.14,283.95,10.98,0,48407189.4,2516996.7,96975.504,711838.08,26111.9718,39031.0344,30111.498,28955.7108,43266.474,291392.442,276788.502,19600.191
CA3451011935419850701,WHEELER 2,34.51,-119.354,1985,7,51335.91,504.36,15323.94,23819.04,11687.58,0.99,5285371515,277964706.9,10372258.03,77878879.92,2827431.035,4348539.594,3360374.019,3163669.861,4879052.631,31447779.27,29025539.09,2286612.325
CA3454011961519850523,UNNAMED,34.54,-119.615,1985,5,1060.92,0.54,658.53,372.78,29.07,0,94230483.84,5244942.69,165269.628,1401345.36,47841.6249,85538.8566,66133.935,56173.3704,100579.833,527460.399,409817.385,54127.9863
CA3460411991919850912,UNNAMED,34.604,-119.919,1985,9,1100.97,1.98,237.24,733.32,128.25,0.18,76764362.4,4349387.07,128488.158,1151411.76,39974.9355,71732.6928,57469.779,47511.9738,88350.075,418134.573,295461.351,48137.6925
CA3481412033519850912,UNNAMED,34.814,-120.335,1985,9,450.81,2.43,131.49,312.57,2.16,2.16,18496291.5,1006276.68,33186.645,279694.8,11084.1066,16081.7625,14202.117,12647.1663,21137.868,103760.046,80360.928,9996.084
CA3504412005619850726,UNNAMED,35.044,-120.056,1985,7,953.28,0,270.72,554.13,128.43,0,108361049,5506723.89,225736.218,1587926.16,59621.7069,83835.1296,64700.685,64958.8374,90914.373,666888.219,666905.985,37989.6003
CA3528712050619850701,LAS PILITAS,35.287,-120.506,1985,7,30691.53,269.19,14676.57,11708.37,3910.23,127.17,2884424071,148747367.5,5845600.899,42473843.28,1596440.752,2290316.575,1801962.207,1758229.881,2569676.508,17455994.55,16777867.07,1119845.218
CA3544311877719850503,ADELAIDE,35.443,-118.777,1985,5,426.15,31.77,223.11,168.66,2.34,0.27,20238903.9,1184081.67,30942.405,307915.2,10912.0329,19916.5455,16770.978,13255.7787,26227.827,104794.119,59852.727,14628.4065
CA3545811870719850628,RICH BAR,35.458,-118.707,1985,6,3294.18,1.8,1175.04,2081.16,4.59,31.59,311359060.8,16843267.98,579125.844,4609133.28,162525.5694,269140.5144,208178.55,186128.1036,309643.182,1798589.538,1534782.87,156380.733
CA3585712139119850803,UNNAMED,35.857,-121.391,1985,8,2940.75,27.63,1455.75,1081.89,332.37,43.11,308106311.8,15685549.83,639067.158,4522134.96,170819.8767,239082.3,186358.455,186342.201,262405.575,1890418.473,1876696.155,109778.0337
CA3586112056119850717,UNNAMED,35.861,-120.561,1985,7,614.16,1.17,90.99,457.92,61.74,2.34,36499220.46,1954938.42,68260.491,545926.32,20929.1436,30935.2383,25955.397,23670.4725,38230.542,210283.74,177177.798,17939.8782
CA3590312056319850702,LOWES,35.903,-120.563,1985,7,1096.65,12.51,826.92,243.45,9.45,4.32,73760657.58,4026284.19,133450.407,1102271.04,40482.7497,64659.5613,52757.856,46544.7501,78901.803,418156.263,336625.299,39404.1681
CA3599412057519850706,BIG SANDY,35.994,-120.575,1985,7,1270.17,2.16,787.95,459.27,20.79,0,91968331.86,4911342.39,174055.059,1367693.28,50962.2741,77627.5821,62884.656,57604.1373,92462.067,534658.923,463044.519,43960.5657
CA3601111879719850712,TULARE 4,36.011,-118.797,1985,7,522.81,0.09,137.79,361.8,23.04,0.09,60638723.1,3061313.91,127727.793,887492.16,33489.2313,46355.7843,35707.59,36308.0727,49832.739,375603.831,381056.175,20307.4785
CA3602412138219850605,WIZARD,36.024,-121.382,1985,6,3464.1,5.49,1370.97,1746.27,326.88,14.49,352960487.8,18269217.54,712038.285,5191585.2,192433.2408,282226.9869,219263.895,212594.8671,313726.122,2132133.264,2041639.47,139448.6154
CA3603712055919850706,ANDREWS,36.037,-120.559,1985,7,2052.81,0.36,955.89,872.55,215.46,8.55,155644030.1,8169318.72,303963.174,2310209.28,88014.4812,127406.529,103940.622,98142.8238,150625.548,920368.98,833718.528,67966.7436
CA3606512116519850708,CHERRY,36.065,-121.165,1985,7,16852.77,233.19,6952.23,7508.61,1906.74,252,1146771191,62549452.26,2080332.765,17119486.8,625722.5952,1004124.644,814464.135,719264.1339,1217595.078,6513390.936,5275488.15,609182.5806
CA3606612146119850706,GORDA-RAT,36.066,-121.461,1985,7,19982.25,8.1,4438.26,9550.98,5739.75,245.16,2260006040,114123417.7,4753634.994,33111175.68,1256579.577,1728083.597,1341480.852,1362539.993,1873122.03,13981255.97,14140463.24,760762.377
CA3622712144019850702,SECO,36.227,-121.44,1985,7,847.26,3.51,392.4,405.36,42.03,3.96,78658108.74,4115045.79,155547.783,1160004.96,42785.5329,64092.8601,50138.64,47654.2089,72452.583,469658.079,437016.555,33181.9893
CA3634812146719850610,PINEY CREEK,36.348,-121.467,1985,6,645.12,3.06,373.59,206.19,62.19,0.09,51518990.52,2945450.7,84887.712,770855.04,25787.2734,48909.4776,38205.378,30996.6516,59188.05,278912.322,193187.502,33286.7214
CA3637912058319850706,LOSGATOSIV,36.379,-120.583,1985,7,8238.69,182.43,5204.16,2425.86,335.61,90.63,693026965.8,36116876.52,1376592.048,10236886.56,384169.59,560581.7148,445661.244,426403.7028,641788.92,4144167.828,3867183.036,287707.428
CA3671511866219850728,SUGARLOAF,36.715,-118.662,1985,7,1077.93,1.08,687.51,352.17,24.39,12.78,110608645.7,5427717.93,243554.13,1612213.2,62561.4201,80222.9616,61871.193,66447.0126,83698.785,702924.975,752735.997,29848.1031
CA3673911825219850706,ONION,36.739,-118.252,1985,7,3475.53,0.18,3345.57,89.64,3.06,37.08,262419452.6,15826447.62,377163.72,3958221.6,122755.7394,271987.6428,210831.246,155843.5536,338026.338,1328261.886,685094.994,207200.2878
CA3695911862619850625,DOUGHERTY,36.959,-118.626,1985,6,670.59,0.09,179.46,298.44,189.18,3.42,87235843.5,4290944.49,191430.171,1271769.12,49193.9415,63554.9301,48949.398,52336.1241,66393.945,553316.841,590228.937,23993.1315
CA3714112191819850707,LEXINGTON,37.141,-121.918,1985,7,4693.77,4.32,915.93,1392.39,2366.82,14.31,588714053,29047231.62,1285709.76,8587058.4,331319.8674,431379.8748,332414.406,353259.3456,452490.138,3723573.726,3949054.434,166098.1158
CA3715812157619850708,FINLEY,37.158,-121.576,1985,7,759.24,1.08,257.4,400.32,93.69,6.75,60611626.08,3202834.95,117338.148,897698.16,33319.5291,50244.0354,40054.797,37378.1304,58388.715,357201.693,321157.323,27232.2981
CA3763211995819850802,BRICEBURG,37.632,-119.958,1985,8,437.49,1.53,59.58,295.2,77.58,3.6,48124351.98,2488996.62,97306.875,707122.8,26086.8024,38434.3911,29660.409,28807.2405,42404.634,291200.688,280064.466,18874.3986
CA3776811881719850808,OWENS,37.768,-118.817,1985,8,1240.47,0.09,143.46,503.64,571.95,21.33,103494511.4,5873091.66,173592.756,1546031.52,52047.2574,97042.5504,75636.054,62146.0692,116593.398,565576.722,405287.046,64796.4378
CA3793011957119850630,PATEVALLEY,37.93,-119.571,1985,6,436.14,3.96,111.51,139.5,164.52,16.65,52969776.48,2668326.39,111893.544,775511.28,29441.8971,40325.931,31224.105,31867.758,43484.715,328546.269,334231.875,17510.9301
CA3809512075419850704,GANN,38.095,-120.754,1985,7,407.52,0.09,73.8,277.02,56.61,0,43964083.44,2299235.31,87181.704,647034.48,23582.4615,35816.5422,27615.645,26271.1908,39893.391,263148.561,246534.255,18409.3713
CA3844612209319850831,MILLER,38.446,-122.093,1985,8,819.27,0,283.32,463.23,50.94,21.78,49103706.78,2643856.11,90685.107,736496.64,28409.0841,41984.3673,35649.684,32237.7633,52708.995,280701.207,231022.251,24885.1881
CA3880512252719850907,HIDDEN VALLEY,38.805,-122.527,1985,9,827.1,0,672.48,144.27,10.35,0,51323638.14,3055787.82,76114.125,774673.2,24960.5244,52074.0333,41079.411,31159.0791,65258.838,263330.316,145172.754,38877.9678
CA3885912285619850613,UNNAMED,38.859,-122.856,1985,6,3907.17,16.2,3253.41,483.93,46.89,106.74,294989449,15624550.8,567509.94,4377859.2,163735.992,245466.4572,197931.132,183933.0756,289075.824,1731118.608,1538200.008,134802.1152
CA3976912001319850708,HAL JNCT 2,39.769,-120.013,1985,7,961.2,0.9,237.15,590.4,101.34,31.41,76879960.92,4469955.03,121739.922,1152746.64,37585.0935,75061.2096,58345.515,45943.1514,91436.283,408035.313,261908.235,53046.8109
CA3985112177219850611,ROCK CREEK,39.851,-121.772,1985,6,472.68,0.09,162.9,256.41,53.28,0,56613523.86,2817498.69,122004.297,826799.04,31633.6167,42153.7779,32471.712,33937.7859,44628.165,355321.737,370835.613,17085.8367
CA4029612006919850716,UNNAMED,40.296,-120.069,1985,7,668.07,0,636.12,30.78,0,1.17,37962042.48,2308439.88,52906.752,575936.64,18243.522,39842.8128,31663.692,23234.004,50884.092,188898.156,88210.548,31045.3956
CA4030512015819850519,SKEDADDLE,40.305,-120.158,1985,5,549,0,481.59,63.45,0,3.96,36236850.12,2205510.12,50442.588,549344.16,17263.746,38092.7232,30113.208,22033.08,48441.888,180305.244,84247.452,29686.0464
CA4034312052019850807,BASS HILL,40.343,-120.52,1985,8,1009.89,37.44,915.66,53.46,3.15,0.18,79357691.52,4546644.12,130401.396,1185808.32,39108.1716,75626.874,58445.064,47169.0036,90738.036,429390.828,297108.396,51558.6204
CA4059212068919850708,MURRER,40.592,-120.689,1985,7,485.19,8.19,131.22,169.38,156.24,20.16,59183835.48,2952160.11,126998.28,865227.6,33165.0927,44247.6306,34270.605,35640.4104,47230.803,370424.601,384250.455,18219.5181
CA4080812321419850726,TRELOAR COMPLEX,40.808,-123.214,1985,7,1650.69,0,869.58,414.9,365.49,0.72,187604157.1,9195766.29,412985.061,2739496.32,107636.7735,135721.0143,106380.9,114255.9207,143882.109,1191053.529,1272100.725,50582.6487
CA4095612245219850718,DELTA,40.956,-122.452,1985,7,670.95,4.14,92.97,133.11,440.73,0,90780673.86,4409522.01,203021.775,1320811.2,51648.0687,64594.1997,49691.826,54464.0697,66403.125,582271.425,635213.529,22379.1687
NV3985111997419850708,LONG VA,39.851,-119.974,1985,7,910.89,2.16,367.56,372.42,145.08,23.67,76776364.98,4320754.38,131310.279,1144777.68,38794.6584,70995.0735,55173.861,45983.7189,84566.214,423941.472,314914.554,46358.1846
CA3662312097919850526,BUMB,36.623,-120.979,1985,5,524.25,0,0.9,500.49,22.86,0,27619454.88,1543141.44,47160.792,417018.24,15551.1792,25164.2808,21338.136,18162.9576,32397.408,151337.808,108673.344,16607.0016
CA3672712076819850609,PONOCHE 2,36.727,-120.768,1985,6,3037.41,239.49,0.72,2078.82,654.57,63.81,70495723.62,3991471.65,109887.219,1113655.68,51543.8523,65154.0033,69855.282,59592.8205,105778.737,359981.973,185390.973,48511.9899
CA3874612210319851008,BALD MT.,38.746,-122.103,1985,10,2162.25,15.66,12.96,1913.31,182.97,37.35,159760031,8028360.99,335160.072,2362872.24,95471.1567,120803.031,101276.613,103134.9132,141110.127,982475.721,977142.807,53859.7233
CA3258111676819860904,MINE,32.581,-116.768,1986,9,417.69,0.09,345.06,72.27,0.27,0,27881187.48,1698601.68,38761.452,422324.64,13157.388,29359.6128,23076.612,16831.692,37163.772,138722.616,64859.328,22883.8356
CA3294811674719860713,CAPTAIN,32.948,-116.747,1986,7,738.36,0.09,638.46,99.18,0.63,0,53962466.76,3245900.13,78089.688,813904.56,25407.8937,55689.003,43273.035,32149.62,69256.485,273973.023,143543.025,42238.6587
CA3389911714619860529,WILMOT,33.899,-117.146,1986,5,696.69,2.52,130.05,559.17,4.95,0,36964355.4,2234325.87,51922.89,563648.4,18788.5539,38383.884,31589.703,23609.5002,50429.007,183990.789,85581.927,29879.2665
CA3398611448919860413,COLORADO 2,33.986,-114.489,1986,4,567.63,2.79,28.62,304.2,228.42,3.6,32525119.8,1986148.26,45077.76,491688,14996.5002,34391.448,26659.494,19296.0036,43050.366,161808.822,75769.146,26815.869
CA3426011789019860720,TECALOTE,34.26,-117.89,1986,7,1653.57,5.04,77.94,147.33,1423.26,0,137811752.1,7964278.56,221687.181,2063023.92,67491.1134,133225.3701,103186.161,82058.3523,161109.972,737492.49,489322.404,92761.632
CA3431211905819861110,BRADLEY,34.312,-119.058,1986,11,4088.25,47.88,1653.3,2124.81,255.51,6.75,244922154.7,14474188.53,370133.415,3695097.6,120889.3131,245466.1917,194644.494,149656.9329,307689.057,1267749.189,728347.941,180767.0907
CA3462911830219860703,LEONA,34.629,-118.302,1986,7,412.11,1.26,62.19,198.54,149.94,0.18,23769499.32,1436577.66,33632.37,360864,11669.5962,24695.3574,19830.708,14736.0798,31727.214,119013.318,57529.062,19081.3914
CA3463411989219860915,UNNAMED,34.634,-119.892,1986,9,1778.13,5.4,783.09,940.23,49.41,0,116798701.5,6493491.45,203268.267,1750911.84,63118.2159,105651.1197,86149.854,73675.0449,130585.257,648501.201,488777.121,67862.3715
CA3474511837119860817,POPPY FIRE,34.745,-118.371,1986,8,496.44,0,22.77,376.11,97.56,0,16238067.48,954983.16,23611.572,253225.44,10275.3756,16048.9728,15373.224,12317.4288,23893.92,80937.972,36982.836,12434.5296
CA3503412024819861025,SUEY RANCH WEST,35.034,-120.248,1986,10,509.94,11.25,401.85,84.6,0.54,11.7,38217147.84,2166377.22,64145.754,571589.28,19449.2502,35760.0762,28120.824,23175.5274,43292.502,208777.338,149312.466,23880.5298
CA3504012031719860830,UNNAMED,35.04,-120.317,1986,8,547.83,6.3,328.95,156.6,1.8,54.18,33507220.86,1788193.53,63261.351,499828.32,18993.4983,28231.6833,23366.826,21436.1181,34327.233,194246.937,166699.809,16086.3867
CA3518311714319860530,NSCRIPTION,35.183,-117.143,1986,5,1908,0,1017.09,890.91,0,0,124135966.1,7549970.4,172963.872,1883024.64,59552.2224,130327.9488,103463.28,75875.0112,166301.424,617691.6,288480.24,101554.1136
